row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0,domain,0,0,0,0,0.258,0.187,0.341,0.00410843,0.0055,1e+37,0.000666667,1,0.000333333,1,0.0005,1,0.000666667,1,0.000333333,1,0.000666667,1
1,hexa,1,0,0,0.339,0.258,0.187,0.341,1,0.00668571,0.00732,0.000666667,0.002,0.002,0.001,0.0005,0.00133333,0,1.11111,1.11111,1,1,2,1,0.000666667,1
2,hexa,2,0.002,0.002,0.339,0.012,0.185,0.341,1,0.002,0.00732,0.000666667,0.000666667,0.001,0.001,0.0005,0.00133333,0,1,1,1,1,2,1,0.000666667,1
3,hexa,3,0.246,0.002,0.339,0.256,0.185,0.341,1,0.002,0.00732,0.000666667,0.001,0.000666667,0.001,0.0005,0.00133333,0,1,1,1,1,2,1,0.000666667,1
4,hexa,4,0,0,0,0.002,0.187,0.341,1,0.002,0.187,0.341,0,0.00133333,0,0,0,0,1,1.66667,1,1,1,1,0.000666667,1
5,hexa,5,0.256,0,0,0.258,0.187,0.341,1,0.002,0.187,0.341,0.00133333,0,0,0,0,0,1.66667,1,1,1,1,1,0.000666667,1
6,hexa,6,0,0,0,0.258,0.002,0.341,1,0.258,0.002,0.341,0,0,0,0.002,0,0,1,1,1,2.125,1,1,0.001,1
7,hexa,7,0,0.185,0,0.258,0.187,0.341,1,0.258,0.002,0.341,0,0,0.001,0,0,0,1,1,1,1,1,1,0.0005,1
8,hexa,8,0,0,0,0.258,0.187,0.002,1,0.258,0.187,0.002,0,0,0,0,0,0.001,1,1,1,1,1,2,0.0005,1
9,cyl,9,xy,0.129,0.0935,0,0.03,0.03,0.002,1,0.01,0.0005,0,0.000275862,0.00212132,0.00212132,1,2,2.57107,1
10,hexa,10,0.014,0.002,0.019,0.244,0.185,0.326,1,0.23,0.183,0.307,0.000333333,0.000333333,0.001,0.0005,0.001,0.001,1,1,1,1,1,1,0,1
11,hexa,11,0.014,0.017,0.019,0.024,0.182,0.026,1,0.0025,0.00916667,0.00233333,0.000333333,0.00833333,0.0045,0.001,0.001,0.00433333,1,1,1,1,1,1,0.00216667,1.2381
12,hexa,12,0.014,0.017,0.039,0.024,0.182,0.046,1,0.0025,0.00916667,0.007,0.000333333,0.00833333,0.0045,0.001,0.00433333,0.00433333,1,1,1,1,1,1,0.007,1
13,hexa,13,0.014,0.017,0.059,0.024,0.182,0.066,1,0.0025,0.00916667,0.007,0.000333333,0.00833333,0.0045,0.001,0.00433333,0.00433333,1,1,1,1,1,1,0.007,1
14,hexa,14,0.014,0.017,0.079,0.024,0.182,0.086,1,0.0025,0.00916667,0.007,0.000333333,0.00833333,0.0045,0.001,0.00433333,0.00433333,1,1,1,1,1,1,0.007,1
15,hexa,15,0.014,0.017,0.099,0.024,0.182,0.106,1,0.0025,0.00916667,0.007,0.000333333,0.00833333,0.0045,0.001,0.00433333,0.00433333,1,1,1,1,1,1,0.007,1
16,hexa,16,0.014,0.017,0.119,0.024,0.182,0.126,1,0.0025,0.00916667,0.007,0.000333333,0.00833333,0.0045,0.001,0.00433333,0.00433333,1,1,1,1,1,1,0.007,1
17,hexa,17,0.014,0.017,0.139,0.024,0.182,0.146,1,0.0025,0.00916667,0.007,0.000333333,0.00833333,0.0045,0.001,0.00433333,0.00433333,1,1,1,1,1,1,0.007,1
18,hexa,18,0.014,0.017,0.159,0.024,0.182,0.166,1,0.0025,0.00916667,0.007,0.000333333,0.00833333,0.0045,0.001,0.00433333,0.00433333,1,1,1,1,1,1,0.007,1
19,hexa,19,0.014,0.017,0.179,0.024,0.182,0.186,1,0.0025,0.00916667,0.007,0.000333333,0.00833333,0.0045,0.001,0.00433333,0.00433333,1,1,1,1,1,1,0.007,1
20,hexa,20,0.014,0.017,0.199,0.024,0.182,0.206,1,0.0025,0.00916667,0.007,0.000333333,0.00833333,0.0045,0.001,0.00433333,0.00433333,1,1,1,1,1,1,0.007,1
