row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0,domain,0,0.4,0.384,0.4,0.6,0.42,0.6,0.00666667,0.0072,1e+37,0.00666667,1,0.008,1,0.00666667,1,0.00666667,1,0.00666667,1,0.00333333,1
1,hexa,1,0.4,0.384,0.4,0.6,0.4,0.6,1,0.2,0.016,0.2,0,0,0,0.00666667,0,0,1,1,1,1,1,1,0.008,1
2,hexa,2,0.4,0.4,0.4,0.6,0.42,0.6,1,0.2,0.02,0.2,0,0,0.008,0,0,0,1,1,1,1,1,1,0.00666667,1
3,hexa,3,0.4,0.4,0.42,0.58,0.42,0.44,1,0.00782609,0.00666667,0.00666667,0,0.00666667,0.008,0,0.00666667,0.008,1,1,1,1,1,1,0.00666667,1
4,hexa,4,0.4,0.4,0.52,0.58,0.42,0.54,1,0.00782609,0.00666667,0.00666667,0,0.00666667,0.008,0,0.0075,0.008,1,1,1,1,1,1,0.00666667,1
5,hexa,5,0.42,0.4,0.57,0.6,0.42,0.59,1,0.00782609,0.00666667,0.00666667,0.00666667,0,0.008,0,0.008,0.00333333,1,1,1,1,1,1,0.00666667,1
6,hexa,6,0.42,0.4,0.47,0.6,0.42,0.49,1,0.00782609,0.00666667,0.00666667,0.00666667,0,0.008,0,0.008,0.0075,1,1,1,1,1,1,0.00666667,1
7,quad,7,yz,0.4,0.4,0.4,0.4,0.42,0.42,1,0.00666667,0.00666667,0,0.00666667,0.00666667,1,1,1
8,quad,8,yz,0.6,0.4,0.59,0.6,0.42,0.6,1,0.00666667,0.00333333,0.00666667,0,0.00333333,1,1,1
