row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
26,hexa,26,0.0290401,-0.078482,0.00156464,0.0395399,-0.0672337,0.016003,1,0.00149998,0.000749887,0.000627757,0.000762,0.000295025,0.000591549,0.0005,4e-05,0,2.386,1,1,1.84987,6.341,1,0.0005,1.55336
27,hexa,27,0.0282781,-0.093738,0.00156464,0.0395399,-0.0808482,0.0135646,1,0.00140773,0.0021483,0.000599998,0.00181813,0.000295025,0.00278301,0.000591549,4e-05,0.0007,1,1,1,1,6.341,1.48349,0.00056184,1.51605
28,hexa,28,0.042926,-0.0631407,0.00156464,0.057912,-0.0576346,0.00664464,1,0.014986,0.0055061,0.00508,0.00141927,0.00326377,0.0013182,0.000604236,4e-05,0.0007,1,1,1,2,6.341,1,0.0006096,1
29,hexa,29,0.0264599,-0.0644589,0.00156464,0.0395399,-0.0530047,0.00537464,1,0.00145333,0.00114542,0.00047625,0.00103962,0.000295025,0.000924933,0.000461675,4e-05,0.000635,2,1,1,1,6.341,1,0.00040386,1.66667
30,hexa,30,-0.012573,-0.100762,0.00156464,0.0117856,-0.0447685,0.016003,1,0.00608965,0.00114272,0.000627757,0.00247567,0.00530885,0.001502,0.0050931,4e-05,0,1,1,1,1,6.341,1,0.00041096,1.90841
31,hexa,31,0.005334,-0.0129959,0.00156464,0.0656082,0.00135077,0.0135646,1,0.0602742,0.0143467,0.012,0.0099566,0.00233731,0.0008835,0.00104871,4e-05,0.0007,1,1.27156,1,1,6.341,1.48349,0.00425448,1
32,hexa,32,0.1064,-0.0129959,0.00156464,0.123774,0.00135077,0.0125628,1,0.017374,0.0143467,0.0109982,0.00168467,0.0033276,0.0008835,0.00104871,4e-05,0.00100176,1,1,1,1,6.341,1,0.0006421,1
33,quad,33,yz,-0.02,-0.106146,-0.0024384,-0.02,0.0050038,0.016003,1,0.11115,0.0184414,0,0.00247567,0.00037,1,1,1
34,quad,34,yz,0.17,-0.106146,-0.0024384,0.17,0.0050038,0.016003,1,0.11115,0.0184414,0.00265367,0,0.00041096,1,1,1
35,hexa,35,0.054356,-0.098729,0.00278384,0.130072,-0.0094137,0.016003,1,0.075716,0.0893153,0.0132192,0.000465667,0.000499999,0.002033,0.00715818,0.0004064,0,1,1,1,1,1,1,0.0014852,1
36,hexa,36,0.0222253,-0.0891217,0.000809,0.11505,0.0034482,0.001271,1,0.00201793,0.00138164,0.000154,0.00513085,0.008724,0.0046163,0.00045385,0.000267,0.00025364,1.03469,1,1,1,1,1,0.0002,1
