kind,name,creation_order,shape_type,center,size,props
domain,cabinet.1,1,shape_hexa,"[0.5, 0.402, 0.5]","[0.2, 0.036, 0.2]",grid_priority=0.0
pcb,pcb.1,2,shape_hexa,"[0.5, 0.392, 0.5]","[0.2, 0.016, 0.2]",grid_priority=2.0
block,block.1,3,shape_hexa,"[0.5, 0.41, 0.5]","[0.2, 0.02, 0.2]",block_type=fluid grid_priority=3.0
block,block.2,4,shape_hexa,"[0.49, 0.41, 0.43]","[0.18, 0.02, 0.02]",block_type=solid grid_priority=4.0
block,block.2.1.1,4,shape_hexa,"[0.51, 0.41, 0.58]","[0.18, 0.02, 0.02]",block_type=solid grid_priority=6.0
block,block.2.1,4,shape_hexa,"[0.49, 0.41, 0.53]","[0.18, 0.02, 0.02]",block_type=solid grid_priority=5.0
block,block.2.2,4,shape_hexa,"[0.51, 0.41, 0.48]","[0.18, 0.02, 0.02]",block_type=solid grid_priority=7.0
opening,opening.1,7,shape_quad,"[0.4, 0.41, 0.41]","[0.0, 0.02, 0.02]",grid_priority=8.0
opening,opening.2,8,shape_quad,"[0.6, 0.41, 0.595]","[0.0, 0.02, 0.01]",grid_priority=9.0
